StoreCode,StoreName
B18481,Camputhaw Cebu City
B18493,Pajo Lapulapu City
B18504,Bacay Minglanilla
B18516,Sangat San Fernando
B18531,Dalaguete Market Dalaguete
B18543,Quirino Highway Talipapa
B18582,Bonifacio Bukidnon
B18617,UPS-5 Paranaque
B18629,Tagunol Mambaling
B18632,Cabreros Cebu City 2
B18668,Vito Minglanilla
B18671,Cortes Mandaue
B18695,P. Sanchez Pagsabungan
B18706,Sewage Lapulapu
B18721,Bontores San Nicolas
B18733,Holy Cross Basak Pardo
B18745,Casuntingan Mandaue
B18757,Rizal Avenue Pagadian City
B18772,Poblacion Pardo Cebu City
B18784,Laray San Roque Talisay 
B18796,H. Mall Mactan Cebu
B18807,Taloot Argao
B18822,Prince Warehouse Argao Cebu
B18846,Grand Mall Lapulapu
B18861,San Roque Mambaling Cebu City
B18885,Lutopan 2 Toledo City
B18897,Cantabaco Toledo City
B18908,Das Market Lutopan
B18911,Alcoy Cebu
B18935,Roxas Valencia
B18947,Magsaysay Valencia
B18974,Kapatagan Lanao del Norte
B18998,Inayagan Naga
B19013,Quezon Avenue Bukidnon
B19025,BMP Laguna
B19076,Tintay Talamban Cebu City
B19088,Kauswagan Talamban
B19091,Pasig Market Manila
B19126,Capitol Cebu City
B19138,SM Mall of Asia Pasay City
B19141,Mapua Intramuros
B19153,Adamson University Manila
B19203,Kayang Baguio City
B19227,Anagan Apas
B19239,Banilad Cebu City
B19304,A. Rodriguez Rosario Pasig
B19331,Landayan San Pedro Laguna
B19405,New Lucban Baguio
B19417,Purok 8 Kamputhaw
B19432,Gordon Pag-asa Olongapo
B19444,SBMA Olongapo City
B19456,Rizal Triangle Olongapo
B19468,Rizal Avenue Olongapo
B19495,Pilipog Cordova
B19506,Gabi Cordova
B19518,Huyong-huyong Bacayan
B19521,Lapulapu Davao City
B19545,San Remegio Cebu
B19596,Carmen Davao 2
B19619,Guadalupe (Fooda) Cebu City
B19622,Caleriohan Dalaguete
B19634,Mahawak Medellin Cebu
B19646,Lazi Siquijor
B19658,Mabini-Plaridel
B19685,Magdugo Toledo
B19697,Gaisano Capital Sogod Sogod
B19711,Courtyard Tangub City
B19723,Paknaan Mandaue
B19735,Paknaan 2 Mandaue
B19747,Paknaan Satellite Market Mandaue
B19759,Medellin Public Market Cebu
B19762,Rizal Lapulapu
B19798,Putatan Muntinlupa
B19863,Sogod Cebu
B19887,UP Technohub Quezon City
B19899,TriNoma Mall Quezon City
B19913,Quiot 2 Pardo Cebu City
B19952,Consolacion Cebu
B19976,Cabancalan 2 Mandaue City
B19988,Tuburan Public Market Cebu
B19991,Poro Camotes
B20041,San Vicente Yati
B20053,Kabuloy Catarman
B20142,Empire Centre Mall Pasay
B20216,Marcos Highway Pasig City
B20228,Gun-ob Lapu-lapu
B20243,Tres de Abril 2 Punta Princesa
B20267,Marawi 2 Lanao del Sur
B20282,Aroroy Masbate City
B20294,Punta Princesa Cebu City
B20317,Damilag Bukidnon
B20368,Fortich Malaybalay
B20395,Calajoan Minglanilla
B20406,Tabada Basak San Nicolas
B20421,Matiao Highway Mati
B20445,Maya Daanbantayan
B20472,Mohon 2 Talisay
B20484,Pooc Talisay
B20546,Malinao Daanbantayan
B20558,Labason Zamboanga del Norte
B20561,Upper Pulacan Zamboanga del Sur
B20573,Naga City People's Mall Camarines Sur
B20623,Mahayag Zamboanga del Sur
B20647,Poblacion Borbon Cebu
B20709,Tibanban-Lavigan Davao Oriental
B20712,Pan-Philippine Hiway Tacloban City
B20748,Rizal Avenue Basak San Nicolas
B20775,Capulay Tayud
B20787,Curva Medellin
B20813,Busay Nivel Hills
B20837,Seaoil (Cogon) Taytayan Bogo City
B20876,Pier 3 Tinago Cebu City
B20902,Cagodoy Lapulapu City
B21004,Molino 3 Bacoor Cavite
B21055,San Guillermo Dalaguete
B21094,Mercato de Mactan Cebu
B21132,Poblacion 3 Tagbilaran City
B21156,San Isidro Ormoc City
B21195,SM City Rosario Cavite
B21233,Estancia Mandaue City
B21269,Gutalac Zamboanga del Norte
B21296,Patag Cagayan de Oro
B21319,Pandac Pavia Iloilo
B21322,Argao Public Market Cebu
B21334,R. Magsaysay Sto. Tomas Davao Del Norte
B21346,Rizal Mati Davao Oriental
B21358,Carajay Lapulapu City
B21373,Jasaan Misamis Oriental
B21385,Nabunturan Compostela Valley
B21435,Poblacion Medellin Cebu (across Prince)
B21447,Prince Hypermart Minglanilla Cebu
B21512,Andres Abellana Guadalupe
B21524,Prince Hypermart Dulag Leyte
B21548,Poblacion Tabogon Cebu
B21575,Dumanjug Public Market Poblacion Dumanjug
B21625,Poblacion Manukan Zamboanga del Norte
B21637,Kapatagan 2 Lanao del Norte
B21649,Trece Public Market Trece Martires Cavite
B21688,Piao Manuel A. Roxas Zamboanga del Norte
B21702,Go Mart Soong Maribago Lapulapu City
B21789,Lutac Naga City Cebu
B21803,Casisang Malaybalay Bukidnon
B21815,Poblacion 2 Oroquieta Misamis Occidental
B21827,Lam an Ozamis Misamis Occidental
B21839,L. Abad Barili Cebu
B21854,RFC Molino II Cavite
B21866,Apitong Maranding Lanao del Norte
B21878,Salug Poblacion Zamboanga del Norte
B21881,Fatima Liloy Zamboanga del Norte
B21893,San Jose Montevista Davao de Oro
B21916,Balangasan Pagadian City
B21943,Juana Osmena Cebu City
B21955,Deca Homes Pavia Iloilo
B21982,San Jose Goa Camarines Sur
B21994,Hernan Cortes Subangdaku Mandaue City
B22057,Ylaya Tondo Manila
B22069,Ilihan Tabogon Cebu
B22096,BF Resort Talon 2 Las Pinas City
B22122,Rafael Rabaya Cansojong Talisay
B22134,San Isidro Village Talisay
B22185,Poblacion Pinan Zamboanga del Norte
B22262,Poblacion Katipunan Zamboanga del Norte
